"Sector","Description","USA","Japan","Germany","Korea","France"
"C24","Chemicals",46.329,16.366624537,8.428013929,2.079164663,5.257499363
"C32","Radio, TV, Telecommunications Equipment",31.184869823,NA,4.167788324,13.071180235,2.855066719
"C33","Medical, Precision, Optical Instruments",22.398,4.583857142,3.552096387,0.367189352,1.797220607
"C34","Motor Vehicles",16.633086099,17.795582619,14.780423234,4.128341542,3.884305331
"C30","Computing and Related Machinery",7.367808038,NA,0.65362104,0.419450826,0.195969671
